row_count,field_count,field_name_values,name_unique_count,name_unique_values,in_portland
100,5,id,373,Airport Green,t
,,name,,Alameda,f
,,area,,Andresen,
,,in_portland,,Arbor Lodge,
,,,,Ardenwald-Johnson Creek,
,,,,Argay,
,,,,Arlington Heights,
,,,,Arnada,
,,,,Arnold Creek,
,,,,Ashcreek,
,,,,Aurora - Butteville - Barlow,
,,,,Bagley Downs,
,,,,Barclay Hills,
,,,,Barlow,
,,,,Beaumont-Wilshire,
,,,,Beaver Creek,
,,,,Beavercreek,
,,,,Bella Vista,
,,,,Bennington,
,,,,Bht,
,,,,Birdshill,
,,,,Birdshill Area,
,,,,Blue Heron,
,,,,Boise,
,,,,Bolton,
,,,,Boring,
,,,,Brentwood-Darlington,
,,,,Bridgeton,
,,,,Bridlemile,
,,,,Brooklyn,
,,,,Bryant,
,,,,Buckman,
,,,,Bull Run Community Association,
,,,,Burnt Bridge Creek,
,,,,Burton Evergreen,
,,,,Burton Ridge,
,,,,Canby,
,,,,Canemah,
,,,,Carter Park,
,,,,Carus,
,,,,Carver - Logan,
,,,,Cascade Highlands,
,,,,Cascade South East,
,,,,Cathedral Park,
,,,,Caufield,
,,,,Centennial,
,,,,Central Beaverton,
,,,,Central City,
,,,,Central Park,
,,,,Central Point - Leland - New Era,
,,,,Childs,
,,,,Cimarron,
,,,,Cio 6,
,,,,Clackamas,
,,,,Clackamas - Grant Park,
,,,,Clackamas - Sunnyside,
,,,,Clackamas Co Unclaimed #4,
,,,,Clackamas Co Unclaimed #5,
,,,,Clarkes - Highland,
,,,,Collins View,
,,,,Colton,
,,,,Columbia,
,,,,Columbia Way,
,,,,Concordia,
,,,,Cottrell,
,,,,Countryside Woods,
,,,,CPO 1 Cedar Hills-Cedar Mill N,
,,,,CPO 1 Cedar Hills-Cedar Mill S,
,,,,CPO 10,
,,,,CPO 11,
,,,,CPO 12 Cornelius,
,,,,CPO 12 Forest Grove,
,,,,CPO 13,
,,,,CPO 14,
,,,,CPO 15,
,,,,CPO 3 Garden Home-Raleigh Hills,
,,,,CPO 4B Bull Mtn,
,,,,CPO 4K,
,,,,CPO 4M Metzger,
,,,,CPO 5,
,,,,CPO 5 Sherwood-Tualatin N,
,,,,CPO 5 Sherwood-Tualatin S1,
,,,,CPO 5 Sherwood-Tualatin S2,
,,,,CPO 6 Cooper Mtn-Aloha N,
,,,,CPO 6 Cooper Mtn-Aloha S,
,,,,CPO 7 Sommerset West-Elmonica N,
,,,,CPO 7 Sommerset West-Elmonica S,
,,,,CPO 8,
,,,,CPO 9 Hillsboro,
,,,,Creston-Kenilworth,
,,,,Crestwood,
,,,,Cully,
,,,,Damascus,
,,,,Denney Whitford,
,,,,Dubois Park,
,,,,E Sandy River Area,
,,,,E. Fork Frontier,
,,,,Eagle Creek - Barton,
,,,,East Columbia,
,,,,East Fork Hills,
,,,,East Minnehaha,
,,,,East Old Evergreen Hwy,
,,,,East Tualatin,
,,,,Eastmoreland,
,,,,Edgewood Park,
,,,,Eliot,
,,,,Ellsworth Springs,
,,,,Englewood Area,
,,,,Enterprise,
,,,,Estacada,
,,,,Esther Short,
,,,,Evergreen,
,,,,Evergreen Highlands,
,,,,Evergreen Shores,
,,,,Fairgrounds,
,,,,Fairview,
,,,,Fairway,
,,,,Far Southwest,
,,,,Far West,
,,,,Father Blanchet Park,
,,,,Felida,
,,,,Fircrest,
,,,,First Addition-Forest Hills,
,,,,First Place,
,,,,Firwood Neighbors,
,,,,Fishers Creek,
,,,,Fishers Landing East,
,,,,Five Oaks,
,,,,Foothills,
,,,,Forest Highlands,
,,,,Forest Park,
,,,,Forest Ridge,
,,,,Foster-Powell,
,,,,Fourth Plain Village,
,,,,Fruit Valley,
,,,,Gaffney Lane,
,,,,Gladstone,
,,,,Glenfair,
,,,,Glenmorrie,
,,,,Goose Hollow,
,,,,Government Camp,
,,,,Government Island Area,
,,,,Grant Park,
,,,,Greater Brush Prairie,
,,,,Green Meadows,
,,,,Greenway,
,,,,Gresham - Centennial,
,,,,Gresham - Mt. Hood,
,,,,Gresham - Northeast,
,,,,Gresham - Northwest,
,,,,Gresham - Southwest,
,,,,Gresham - Wilkes East,
,,,,Gresham Butte,
,,,,Hallinan,
,,,,Happy Valley,
,,,,Harney Heights,
,,,,Hayden Island,
,,,,Hayhurst,
,,,,Hazel Grove,
,,,,Hazelwood,
,,,,Healy Heights,
,,,,Hearthwood,
,,,,Hector Campbell,
,,,,Heritage,
,,,,Hidden Springs,
,,,,Highland,
,,,,Hillendale,
,,,,Hillsdale,
,,,,Hillside,
,,,,Historic Milwaukie,
,,,,Historic Southeast,
,,,,Holcomb - Outlook,
,,,,Holly Orchard,
,,,,Hollybrook,
,,,,Hollywood,
,,,,Homestead,
,,,,Hosford-Abernethy,
,,,,Hough,
,,,,Hudsons Bay,
,,,,Humboldt,
,,,,Image,
,,,,Interlachen Area,
,,,,Irvington,
,,,,Island Station,
,,,,Jennings Lodge,
,,,,John'S Woods,
,,,,Johnson City,
,,,,Kelly Creek,
,,,,Kenton,
,,,,Kerns,
,,,,Kevanna Park,
,,,,King,
,,,,Ladd Hill,
,,,,Lake Forest,
,,,,Lake Grove,
,,,,Lake Oswego Area,
,,,,Lake Road,
,,,,Lakeview-Summit,
,,,,Lakewood,
,,,,Landover-Sharmel,
,,,,Laurelhurst,
,,,,Lents,
,,,,Lewelling,
,,,,Lewis And Clark Woods,
,,,,Lincoln,
,,,,Linnton,
,,,,Linwood,
,,,,Lloyd Distrct,
,,,,Lloyd District,
,,,,Madison South,
,,,,Maple Tree,
,,,,Maplewood,
,,,,Markham,
,,,,Marrion,
,,,,Marshall Park,
,,,,Martinazzi Woods,
,,,,Marylhurst,
,,,,Maywood Park,
,,,,Mcloughlin,
,,,,Mcloughlin Industrial,
,,,,Mcvey-South Shore,
,,,,Meadow Glade,
,,,,Meadow Homes,
,,,,Midwest,
,,,,Mill Park,
,,,,Milwaukie,
,,,,Milwaukie Business Industrial,
,,,,Molalla,
,,,,Montavilla,
,,,,Mountain Park,
,,,,Mountain View,
,,,,Mt Hood Corridor,
,,,,Mt Hood Forest Area,
,,,,Mt. Scott-Arleta,
,,,,Mt. Tabor,
,,,,Mulino,
,,,,Multnomah,
,,,,Multnomah Co Unclaimed #14,
,,,,Ne Community Nemcca Area,
,,,,Ne Hazel Dell,
,,,,Neighbors Southwest,
,,,,North Central,
,,,,North Clackamas,
,,,,North Fork Lewis River,
,,,,North Garrison Heights,
,,,,North Gresham,
,,,,North Hearthwood,
,,,,North Image,
,,,,North Salmon Creek,
,,,,North Shore Country Club,
,,,,North Tabor,
,,,,North Troutdale,
,,,,Northcrest,
,,,,Northfield,
,,,,Northwest,
,,,,Northwest District,
,,,,Northwest Heights,
,,,,Northwest Industrial,
,,,,Northwood,
,,,,Oak Creek,
,,,,Oak Grove Community Council,
,,,,Oakbrook,
,,,,Ogden,
,,,,Old Evergreen Hwy,
,,,,Old Town,
,,,,Old Town/Chinatown,
,,,,Other,
,,,,Overlook,
,,,,Palisades,
,,,,Park Place,
,,,,Parker Crest,
,,,,Parkrose,
,,,,Parkrose Heights,
,,,,Parkside,
,,,,Parkway East,
,,,,Pearl,
,,,,Piedmont,
,,,,Pleasant Highlands,
,,,,Pleasant Valley,
,,,,Portland Downtown,
,,,,Portland Pdx Airport Area,
,,,,Portland Unclaimed #1,
,,,,Portland Unclaimed #2,
,,,,Portland Unclaimed #5,
,,,,Portsmouth,
,,,,Powell Valley,
,,,,Powellhurst-Gilbert,
,,,,Ramblin Creek Est,
,,,,Redland - Fischers Mill - Viola,
,,,,Reed,
,,,,Rhododendron,
,,,,Richmond,
,,,,Ridgefield Junction,
,,,,Rivercrest,
,,,,Riverdale Area,
,,,,Rivergrove,
,,,,Riveridge,
,,,,Riverpark,
,,,,Riverview,
,,,,Riverview Cemetery Area,
,,,,Roads End,
,,,,Robinwood,
,,,,Rock Creek,
,,,,Rockwood,
,,,,Rose City Park,
,,,,Rose Village,
,,,,Rosemont Summit,
,,,,Roseway,
,,,,Rosewood,
,,,,Russell,
,,,,Sabin,
,,,,Sandy,
,,,,Savanna Oaks,
,,,,Sellwood-Moreland,
,,,,Sexton Mountain,
,,,,Sherwood,
,,,,Shumway,
,,,,Sifton,
,,,,Skylands,
,,,,Skyline Ridge,
,,,,South Beaverton,
,,,,South Burlingame,
,,,,South Canby,
,,,,South Clackamas County,
,,,,South Cliff,
,,,,South End,
,,,,South Portland,
,,,,South Tabor,
,,,,Southgate,
,,,,Southwest Hills,
,,,,St. Johns,
,,,,Stafford Tualatin,
,,,,Sullivan's Gulch,
,,,,Sumner,
,,,,Sunderland,
,,,,Sunnyside,
,,,,Sunrise,
,,,,Sunset,
,,,,Sweetbriar,
,,,,Sylvan-Highlands,
,,,,Tower Vista,
,,,,Town Center,
,,,,Troutdale Area,
,,,,Truman,
,,,,Tryon Creek Area,
,,,,Two Rivers,
,,,,University Park,
,,,,Uplands,
,,,,Vancouver - Sunnyside,
,,,,Vancouver Heights,
,,,,Vanmall,
,,,,Vernon,
,,,,Village At Fishers Landing,
,,,,Vose,
,,,,W Sandy River Area,
,,,,Waluga,
,,,,Washougal River,
,,,,West Beaverton,
,,,,West Hazel Dell,
,,,,West Minnehaha,
,,,,West Mt Scott,
,,,,West Portland Park,
,,,,West Slope,
,,,,Westlake,
,,,,Westridge,
,,,,Wildwood,
,,,,Wilkes,
,,,,Willamette,
,,,,Wilsonville,
,,,,Wood Village,
,,,,Woodland Park,
,,,,Woodlawn,
,,,,Woodstock,